Broker Name,Equity Delhivery Brokerage(%),Equity Intraday Brokerage,Equity Future Brokerage,Equity Option Brokerage(Rup),Transaction Charges on Del.(%),Trans charge on Intraday(%),DP Charges Del.(Rup),DP Charges Intraday,GST on Delhivery(%),GST on Intraday,SEBI charges(%),Overall rating on Google,Downloads (M),Additional Features
,,,,,,,,,,,,,,
Angel One,0,0.03,0.25,20,0.00325,0.00325,,,18,18,10,4.4,50,"Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
Zerodha,0,0.03,0.03,20,0.00325,0.00325,,,18,18,10 rupee,3.7,10,"3 in 1 Account, SMS Alerts,  Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds"
Groww,10.00%,10.00%,20,20,0.00345,0.00345,13.5,0,18,18,0.0001,4.8,50,"SMS Alerts,  Mutual Funds, IPO Platform,  Exchange Traded Funds"
Upstox,0.05,0.05,0.05,20,0.00322,0.00322,,,18,18,10,4.5,10,"3 in 1 Account, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
icici Direct,0.25,0.025,0.025,35,0.00325,0.00325,,,18,18,5,4.4,1,"3 in 1 Account, Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt,  Exchange Traded Funds, Insurance"
HDFC Securities,0.2,0.02,0.05,100,0.00325,0.00325,,,18,18,15,4.6,1,"3 in 1 Account, Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
Kotak Securities,0.2,0.039,0.06,10,0.00335,0.00335,,,,,10,4.4,1,"3 in 1 Account, Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
Motilal Oswal,0.2,0.02,0.02,20,0.00325,0.00325,,,18,18,10,4.4,10,"Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt,  Exchange Traded Funds, Insurance"
5paisa,0.2,0.2,0.2,20,0.00345,0.00345,,,18,18,0.0001,4.3,10,"3 in 1 Account, Free Trading Calls, Free Research Reports, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
Paytm Money,0.2,0.05,0.02,20,0.00345,0.00325,,,18,18,0.00005,3.8,10,"Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds"
Axis Direct,0.25,0.03,0.03,20,0.00325,0.00325,,,18,18,10,4.5,1k,"3 in 1 Account, Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds, Insurance"
Bajaj Broking,0.2,0.2,0.2,20,0.00325,0.00325,,,18,18,5,4.2,1,"SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform"
Shoonya,0,0.03,0.03,5,0.00297,0.00297,,,18,18,10,4,1,"SMS Alerts, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds"
Nuvama,0.01,0.01,0.01,10,0.00325,0.00325,,,18,18,15,4.5,1,"3 in 1 Account, Free Trading Calls, Free Research Reports, SMS Alerts, Margin Funding, Margin Against Share, Mutual Funds, IPO Platform, Bonds & Debt, Exchange Traded Funds"
m.stock,0,0,0,0,0.00325,0.00325,,,18,18,10,4.2,10,"Free Trading Calls, SMS Alerts, Margin Funding, Mutual Funds, IPO Platform, Exchange Traded Funds"
